DestinationID,City,Country,Region,Description
1,Paris,France,Europe,"City of Lights, known for art and cuisine"
2,Tokyo,Japan,Asia,Bustling metropolis with rich traditions
3,New York,USA,America,The Big Apple with iconic landmarks
4,London,UK,Europe,Historic city with modern vibrancy
5,Sydney,Australia,Oceania,Harbour city with the iconic Opera House
6,Rome,Italy,Europe,Ancient ruins and exquisite cuisine
7,Cape Town,South Africa,Africa,Scenic beauty at the tip of Africa
8,Beijing,China,Asia,A mix of rich history and modern development
9,Berlin,Germany,Europe,"City known for art, culture, and modern history"
10,Rio de Janeiro,Brazil,South America,Vibrant city famous for its carnival and beaches
